rule_id,domain,statement,nasa_yuwe_example,spanish_gloss,morpheme_breakdown,source,notes
SYN-032,complex_clause,Subordinate temporal with same subject = SS suffix on the subordinated verb,"mjiyãk pheʼjuwa","mientras trabajaba se reía","{mji-yã-ku pheʼj-u-wa}",GDB Cap5,Same-subject markers (forms vary by aspect)
SYN-033,complex_clause,Subordinate with different subject = DS suffix,"mjiyãna agxaʼ kãsekiku","mientras él trabajaba yo descansé","{mji-yã-na agx-aʼ kãse-ø-ki-ku}",GDB Cap5,Different-subject markers
SYN-034,complex_clause,Conditional = HIP modopersonal on protasis,"mjiyaʼkuʼ uʼjeçtsxa","si trabajara me iría","{mji-yaʼ-ku-ʼ uʼj-e-ç-tsxa}",GDB Cap5,
SYN-035,complex_clause,Concessive same-subject (CONC.IS) and different-subject (CONC.DS),"mjiyaʼpenaʼ adxaʼ kãsekiku","aunque trabaje yo descansaré","{mji-yaʼpe-na adx-aʼ kãse-ø-ki-ku}",GDB Cap5,Specific morpheme forms vary by aspect
SYN-036,complex_clause,Relative clause = NOM nominaliser -sa on subordinated verb,"uy zxiçxkwesa ahkuk","la mujer que es bonita cocinó","{uy zxiçxkwe-sa ah-ø-ku-ku}",GDB Cap5 Cap6,Adnominal relative
SYN-037,complex_clause,Nominal relative can function as subject / OD / OI / attribute,"mjisaweʼsx ũʼa ewaʼ","la comida de los que trabajan es buena","{mji-sa-weʼsx ũʼ-a ew-aʼ}",GDB Cap5 Cap6,
SYN-038,word_class,Predicativity is universal: every lexeme accepts MPN and may predicate,"talxnaʼ","¿es flaco?","{talx-naʼ} Q-3psINTE.PE",GDB Cap4 Cap5,N V VN Q all predicate directly
SYN-039,clause_type,Word-sentence: a single predicative word constitutes a full clause,"waʼkxku","mordió","{waʼkx-ø-ku} V-AOR-3psASER.PD",GDB Cap5,Subject implicit via MPN
SYN-040,word_order,Conjunctions/connectors are clause-initial,"vxitkuʼ agxaʼ Liliayakh","y luego yo con Lilia","{vxitku agx-aʼ Lilia-yakh}",GDB Cap5,vxitku = "luego"
SYN-041,deixis,Distance morphemes -ki- (D1) / -ku- (D2) / -ne- (D3) appear in the predicate complex,"Pekluʼ kãsekiku","Pedro descansó (en mi esfera)","{Peklu-aʼ kãse-ø-ki-ku}",GDB Cap4,Speaker-distance encoding
SYN-042,deixis,Spatial deictic = base + INE,"aytaʼ","es aquí","{ay-te-aʼ}",GDB Cap6,Compositional
SYN-043,deixis,3rd person pronoun = distal demonstrative,"txãaʼ ahkuk","él cocinó","{txã-aʼ ah-ø-ku-ku}",GDB Cap6,Atypical for the world's languages
SYN-044,deixis,Possessive 3sg adds -ji benefactive to disambiguate from demonstrative,"txãji yat","su casa","{txã-ji yat}",GDB Cap6 Tabla14,
SYN-045,reciprocal,Reciprocal RECI uses prefix yaʼ- + plural agreement,"kweʼsxaʼ yaʼwaʼkxthaʼw","nos mordimos mutuamente","{kweʼsx-aʼ yaʼ-waʼkx-ø-thaʼw}",GDB Cap5,Reflexive and reciprocal share the prefix; number disambiguates
SYN-046,imperative,Imperative 2sg = -k stem affix,"ahk","¡cocina!","{ah-k}",GDB Cap5,Stem-final allomorphy
SYN-047,imperative,Imperative 2pl = -weʼ or -kweʼ depending on stem,"ahweʼ","¡cocinen!","{ah-weʼ}",GDB Cap5,
SYN-048,imperative,Prohibitivo = -me- + IMP marker,"ahmek","¡no cocines!","{ah-me-k}",GDB Cap5,Negation infixes before imperative
SYN-049,clause_type,Exhortative = -nxa morpheme,"ahnxa","cocinemos","{ah-nxa}",GDB Cap5,1pl inclusive command
SYN-050,clause_type,Hypothetical = -yaʼ + ku/ka set,"mjiyaʼku","si trabajara","{mji-yaʼ-ku}",GDB Cap5,
