book,chapter,verse,spanish,nasa_yuwe
1CO,1,27,"Por el contrario, Dios eligió las cosas que el mundo considera necedad para humillar a los que creen que son sabios. Escogió las cosas que el mundo considera débiles, para humillar a los que creen que son fuertes.","Txã'wẽçxawa i'kwe'sxa' Dxus txhitxhnisa i'kwe, i'kwe'sxtxi jiimeesata' jĩna naa kiwetewe'sx nasa we'we'tx txãawe'sxtxi kaythame'jwa'jsa. Sa' txã'wẽy naa kiwete nasa we'weçxa': Çxhãçxhamée ãhmeesata' jĩ'tx txãawe'sxtxiwa kaythame'jwa'jsa."
1CO,1,28,"Escogió cosas que son irrelevantes y despreciadas por el mundo, incluso cosas que no son, para deshacer las cosas que son,",Naa kiwete nasa we'weçxa': Kĩhtewa seelpimeesata' jĩnatx açewe'we' txãa açewe'wesatx seelpimeekhẽ nvxiitwa'jsa i'kwe.
1CO,1,29,a fin de que nadie pueda jactarse en la presencia de Dios.,Txã'wẽ i'kwe'sxa' ãhmeekwesatx txhitxhnisa i'kwe na' kim yuhwa Dxus dxi'pte iiwejçx yajkxna fxi'zeya' ãjameene'kwe.
1CO,1,30,"Es por él que ustedes viven en Jesucristo, a quien Dios puso como sabiduría para nosotros. Él nos hace justos y nos hace libres.","Kristo Jesus yakh fxi'zewa'ja's Dxusku vxit. Aça' Kristo's jiyuwa'ja'swa Dxus íiçxáak vxit. Sa' txãa Kristopa'ga yuuçxáa kwe'sxa' Dxus dxi'pte ewtetha'w neeyũu, txajx tasxu txutemée fxi'zeya'."
1CO,1,31,"Así como dice la Escritura: “Quien quiera jactarse, que se jacte en el Señor”. < 1 >","Txãa pa'ga Dxus yuuçxá's weçxana tuuthe'jwa'ja's Dxus librute na'wẽ fxi'jni ũsa': Maawa jiith sũhna jxtuhthe yaakxwẽje'ççxa', Dxus yuuçxá's weçxana tuuthe'jwa'ja' jĩ'k. < 1 >"
1CO,2,1,"Hermanos y hermanas, cuando vine a ustedes no traté de impresionarlos con palabras excepcionales, o con gran sabiduría, cuando les dije lo que Dios quería decirles.","Yakhthẽ'jwe'sx, adxa' Dxus yuwe's kaajiyu'jya' kxtee pa'jçxa', jiisa we'weni seena' zhiçxkwesa yakh pta'sxna pa'jmeeth."
1CO,2,2,"Decidí que mientras estaba con ustedes no deseaba concentrarme en nada más, excepto en Jesucristo, y en su crucifixión.","Kxtee i'kwe'sx yakh ũsçxa', naa kiwetewe'sxa's jiyunisa yakh pta'sxna ũsu'çmeeth, naasáa Jesukristo's kluuskhẽ ki'pçxa ikhniçxá'sthu pta'sxna ũsu'."
1CO,2,3,"Vine a ustedes estando débil, temeroso y con temblor.","I'kwe'sx tasxte pa'jçxa', wala jiisa na'wẽ pa'jmée, wejxwa jiimeesa na'wẽ ũukhna pa'jçxath Dxus yuwe's i'kwe'sxtxi pta'sx."
1CO,2,4,Yo no les hablé persuadiéndolos con palabras de sabiduría para convencerlos. Solo les expliqué todo mediante la evidencia y el poder del Espíritu.,"Nawa naa kiwetewe'sxa's jiyunisa yakh we'weçxa i'kwe'sxtxi' knaymeeth. Txã'wẽ yũumée, wejxwa Dxus pu'çxte txajx Espiritu yakhçxáath kaajiyu'jçxa i'kwe'sxtxi' knay."
1CO,2,5,"De este modo su confianza en Dios no estaría fundada en la sabiduría humana, sino en el poder de Dios.","I'kwe'sxa' naa kiwetewe'sxa'sçxáa piyaçxa Dxusa's jiyumée, wejxwa Dxus íiçxáa pu'çxte Dxusa's jiyusa yuukahnthu naa kiwete jiyunisa yu'sa' we'wemée. Dxus pheu'jnitxi' txajx Espiritu yakh íiçxáak ya'jiyu'"
1CO,2,6,"Sin embargo, usamos palabras de sabiduría para hablar con los que son espiritualmente maduros, pero esta no es una sabiduría que viene de este mundo, o de los gobernantes de este mundo que rápidamente van desapareciendo.","Txã'wẽçxawa, Dxusna ew yã'j jiisa yakh yu' txã'wẽ we'weni' seena' yuh jiisa we'wenisata'. Nawa txã'wẽ we'weni' naa kiwetewe'sxmeeta', sa' naa kiwete ne'jwe'sx skhẽwwa'jsa ũsta' wala jiisa txãawe'sx we'weniwa meeta',"
1CO,2,7,"Por el contrario, explicamos la sabiduría de Dios en términos de un misterio revelado que fue oculto anteriormente y que Dios planeó para nuestra gloria antes de la creación de los mundos.",wejxwa naa kiwe meetey bagaçxte yuhwa pçumée kwe'sx ewte neeyũuwa'ja's Dxusa' pheu'jçxa ji'phyã'kh yu' kim yuhwa jiyunimeesa txã'snatha'w pta'sxi'.
1CO,2,8,"Ninguno de los gobernantes de este mundo comprendió cosa alguna sobre esto, porque si así hubiera sido, no hubieran crucificado al Señor de gloria.","Txã'sa' naa kiwete ne'jwe'sx kim yuhwa jiyumeeta'. Jiyuwaça', kluuskhẽ ki'pçxa ikhwa'jmée ne'ta yu' kwe'sxtxi jxpe'jsa cielujũwe'sxa's."
1CO,2,9,"Pero como dice la Escritura: “Nadie ha visto, nadie ha escuchado, y nadie ha imaginado lo que Dios ha preparado para los que lo aman”.","Nawa Dxus librute fxi'jni ũsyã'kh yu' txã'wẽ jiyuwa'ja'smée, txãa pa'ga ne'ta jiyumée. Txajíik na'jĩ': Dxusna yaakxsawe'sx jĩi Dxusa' pheu'kh txãa pheu'jni's Kim yuhwa iiuymeeta', sa' iiwẽse'jwa meeta', Sa' ũusteçxáa yuhwa yaakxni ji'phu'çmeeta' jĩna fxi'jni'."
1CO,2,10,"Pero Dios nos ha revelado esto por medio del Espíritu, porque el Espíritu ahonda en las profundidades de Dios.","Dxusa' txajx Espiritu yakhku txã'wẽsatx kwe'sxtxi kaajiyu'j, txãa pa'gatey txajx Espiritu' Dxus pheu'jni kim yuhwa jiyuwa'jmeesa ũstxna txãatx jxuka jiisa'."
1CO,2,11,"¿Quién conoce los pensamientos de alguien si no es la misma persona que los tiene? Del mismo modo, nadie conoce los pensamientos de Dios excepto el Espíritu de Dios.",Ayga nasaa pwe'sxçxáa yuhwa ¿kim jiyuya' ãjakx vxitee ũus yaakxni's? Naasáa txã'wẽ yaakxsayçxáa ¿jiyumeema'k? Txã'wẽy Dxus Espiritu yuuçxáa jiia' Dxus yajkxçxa pheu'jnisatxi'.
1CO,2,12,"Porque hemos recibido el Espíritu de Dios, no espíritu de este mundo, a fin de que pudiéramos entender lo que Dios nos dio tan generosamente.","Kwe'sxa' naa kiwetewe'sxa's jiyunisa's jxpa'gaçxa ũsmeetha'w. Dxus Espiritu txajx tasxu yuusa'stha'w jxpa'ga, Dxus peeygãhçxa kwe'sxtxi ew yũuk txãatx jxuka jiyuya'."
1CO,2,13,"De eso hablamos, no usando palabras enseñadas por la sabiduría humana, sino lo que el Espíritu enseña. Nosotros explicamos lo que es espiritual usando términos espirituales.","Txãasatha'w kwe'sxtxi Dxus ew yũuni's txajx Espiritu kaajiyu'the pta'sxya' ãja', sa' naa kiwetewe'sxa's piyani's pta'sxi'çmeetha'w. Dxus jĩitxi' Dxus Espiritu yakhíiçxáatha'w pta'sxi'."
1CO,2,14,"Por supuesto, las personas que no son espirituales no aceptan lo que viene del Espíritu de Dios. Para ellos solo es necedad, y no pueden entenderlo, porque lo que es espiritual necesita examinarse de manera apropiada.","Nawa Dxus Espiritu's ũuste ji'phmeesa' Dxus Espiritu we'weni's jiyuya' ãjameetxna. Txã'wẽsa yakha' jiimeekwesa we'weni na'wẽçxáa pthũusena. Dxus we'wenitxi' Dxus Espiritu yakhçxáa ya'jiyuna, txãa pa'ga Dxus Espiritu yakhmée yu' jiyuya' ãjameetxna. Dxus yaakxnitxi' Dxus Espiritu yakhçxáa jiyuya' ãjatxna."
1CO,2,15,"Las personas que son espirituales lo investigan todo, pero ellos mismos no son objeto de investigación.","Nawa maawa Dxus Espiritu's ũuste ji'phsa' jxpubamée ew jiyuya' ãjatxna, aça' txã'wẽ yũusa's jxpubana ũsa' jĩya' ãjameetxna maa yuhwa."
1CO,2,16,"Pues “¿Quién entiende la mente del Señor, y quién consideraría instruirlo?” ¡Pero nosotros sí tenemos la mente de Cristo! < 2 >","Txã'wẽ jiyuya' ãjawa'jmeete íiçxáak Dxus librute na'wẽ we'we': ¿Kim jiyuya' ãjakx Dxus yaakxni's? Dxusa's ¿kim kaapiya'jya' ãjakx? jĩ'k. Txã'wẽtewa, kwe'sxa' jiitha'w Kristo yaakxni's, Dxus Espiritu kaajiyu'pha'ga. < 2 >"
1CO,3,1,"Mis hermanos y hermanas, no pude hablar con ustedes como si hablara con creyentes espirituales, sino como con personas del mundo, como si hablara con cristianos recién nacidos.","Yakhthẽ'jwe'sx, makwe wala jiisa ne'kwe nawa Dxusa's ew jiisa yakh na'wẽ yu' we'weya' ãjameeth, Dxusa's kĩh yuhwa jiimeesa yakh na'wẽçxáath we'weya' ãja. Kristo kaapiya'jni yu's kĩh yuhwa jiimée luuçx le'çxkwe na'wẽçxáa i'kwe."
1CO,3,2,"Les di a beber leche, y no pude darles alimento sólido porque no estaban listos para ello.","Luuçx le'çxkwesa's ma'wẽta leçxiçxáana puuçu' vxite ũ' yu's puuçmée txã'wẽy i'kwe'sxtxi' kaapiya'jçxawa thẽymeekuẽsaçxáanath kaapiya'jçxa nvxiht, txã'wẽ thẽysa yu'sa' ãjameei'kwe naa pa'ga sa' ãçxpkaçx jiyuya' ãja'çmeei'kwe."
1CO,3,3,"Incluso ahora no están listos para ello, porque todavía son del mundo. Si ustedes aún son envidiosos y andan en discusiones, ¿no demuestra eso que todavía son mundanos? ¿No demuestran que se comportan como lo hacen las personas comunes?","Txãasa ãçxpkaçx i'kwe'sx ũuste Dxusa's yu' kĩh yuhwa ji'phmeei'kwe, txãasa i'kwe puutx yahçena puiina txuteeçxa fxi'ze'. Txã'wẽ yũunisa', Dxusa's ũuste ji'phmeesa fxi'zenisa'."
1CO,3,4,"Cuando alguno de ustedes dice: “Yo sigo a Pablo”, mientras que otro dice: “Yo sigo a Apolos”, ¿no es eso prueba de que son como los del mundo?","Txã'wẽ Adxa' Pablo yakh u'jsath jĩçpkaçxha' vxite' Apolos yakh u'jsath jĩna txã'wẽ yũuçxa', Dxusa's ¿ma'wẽçxáa yuhwa ũuste ji'phmeesa na'wẽ yuh meekwe wakx?"
1CO,3,5,"¿Quién es Apolos, después de todo? ¿Y quién es Pablo? Nosotros solo somos siervos por medio de los cuales ustedes llegaron a creer. Cada uno de nosotros hace la obra que Dios nos asignó.","Ũus miiyajkxwe: Pablo' ¿kĩh yũusaana? Aça' Apoloswa ¿kĩh yũusaana? Kwe'sxa' naasáa Dxusna selpisaçxáatha'w, Dxus ma'wẽ jxkaathe' txã'wẽy mjĩitha'w teeçxsa na'wẽçxah, txãa pa'ga i'kwe Kristo's jiyuwa'ja's ji'phu."
1CO,3,6,"Yo sembré, Apolo regó la tierra, pero fue Dios quien los hizo crecer.","Adxa' nyafxte uuhsaçxáath yu', naapkaçxha' Apolosa' yu'awsak yu'. Nawa Dxusku kbuuçxa'jçxa nuywala."
1CO,3,7,"De modo que el que siembra no cuenta en absoluto más que el que riega la tierra. El único que importa es Dios, quien los hace crecer.","Txã'wẽ uuhsa vxite' yu'awsa txã'wẽ yũusa' kĩhwa jxtuhthesameeta', naasáa Dxus yuuçxáa jxtuhthesa', txã'wẽ kbuuçxa'jçxa nuywalapa'ga."
1CO,3,8,"Y el que siembra, tanto como el que riega la tierra, tienen un mismo fin, y ambos serán recompensados conforme a lo que hayan hecho.","Uuhsa vxite' yu'awsa txãawe'sxa' maa yuhwa jxthaakwesamée, txãa na'wẽçxaçxáata'. Nawa dewewa'j yu'sa' txakweçxaçxáa yu'mée Dxusa' deweena, makwe mjĩite', txã'sçxáan deweena."
1CO,3,9,"Nosotros somos obreros, junto con Dios, y ustedes son el campo de cultivo de Dios, su edificación.","Dxus mjĩinite kwe'sxa' kxtee mjĩisaçxáatha'w, aça' i'kwe'sxa' Dxus mjĩini kiwe na'wẽsa i'kwe. Txã'wẽy i'kwe'sxa' yat na'wẽsa i'kwe, aça' txãa yata's txahna pheu'jsa' Dxusa'."
1CO,3,10,"Por medio de la gracia que Dios me dio, yo puse el fundamento como un supervisor calificado en obras de edificación. Ahora alguien más construye sobre ese fundamento. Quien hace la construcción debe vigilar lo que esté haciendo.",Dxus jxkaathe adxa' yat txajxa' jiisa na'wẽ yat txaahwa'ja's kaaçxida'jsaçxáath. Aça' adx takhni kajkwete' vxite mjĩina ũsa' yata's. Nawa ma'wẽ mjĩiwa'ja'swa jxpa'yakx mjĩiwa'j ji'pha' teeçxsa na'wẽçxah.
1CO,3,11,"Porque nadie puede poner un fundamento distinto al que ya se puso en principio, es decir, Jesucristo.","Yat txaahwa'ja's takhna kaaçxida'jni ũsyã'ja' txã' Jesukristo', aça' kim yuhwa vxite fxiy kaaçxida'jwa'j ji'phmeeta'."
1CO,3,12,"Los que construyen sobre ese fundamento pueden usar oro, plata, piedras preciosas, madera, heno, o paja;","Na'wẽ kaaçxida'jni kajkwete kĩh yakhwa mjĩitxna: vxyuu beh, vxyuu çxihme, kwet zhiçxkwesa yakh meeçxawa fxtũu, çhĩçh, khĩh txã'wẽsa yakh."
1CO,3,13,"pero cualquiera sea el material usado para construir, saldrá a la luz. Porque en el Día del Juicio, el fuego lo revelará y lo probará. La obra de cada uno será mostrada tal como es.","Nawa Dxus kastigãywa'j ente ya'pdxi'puçxa ya'jiyuna ma'wẽ mjĩini'swa. Txãa ente' ipx yakh kĩijana, aça' txãa ipxa' kaajiyu'juna mjĩisa ma'wẽ mjĩini'swa."
1CO,3,14,"Aquellos cuya edificación se mantenga en pie, serán recompensados.",Txãa kaaçxida'jni kajkwete mjĩisa' ew wáa mjĩina ipxte çxhavxywa'jmeesa yakh aça' txã'wẽ ew mjĩipa'ga dewení yuuna.
1CO,3,15,"Aquellos cuya edificación se queme, habrán perdido. ¡Ellos también serán salvos, pero será como pasar por fuego!","Nawa txãa yatte mjĩisa' ipxte çxhavxywa'jsa yakh wáa mjĩina aça' jxuka çxhavxyte', mjĩipa'ga dewenimée yuuna. Naasáa kxtee mjĩisa yuuçxáa ewte neeyũuna, txãa ipx walajũ ũphna kasehsa na'wẽ."
1CO,3,16,¿Acaso no saben que ustedes son Templo de Dios y que el Espíritu vive en ustedes?,"I'kwe'sxíi Dxus ũswa'j yati'kwe, naa pa'ga Dxus Espiritu i'kwe'sx ũuste u'pwa'jsate jiimeewá'kwe."
1CO,3,17,"Todo el que destruye el templo de Dios será destruido por Dios, porque el Templo de Dios es santo, y ustedes son el Templo.","Dxus ũswa'j yata' kĩh pkal yuhwa ji'phmeesa na's maawa Dxus ũswa'j yata's ivxiitute', Dxusa' ivxiituna txã'wẽ yũusa's. Txãa Dxus ũswa'j yata' i'kwe'sxi'kwe."
1CO,3,18,"No se engañen. Si hay alguno de ustedes que piensa que es sabio para el mundo, debe volverse necio para que pueda llegar a ser realmente sabio.","I'kwe'sxa' maa yuhwa jxpubanuwe, wala jiisatha'w sũhna. Maawa naa kiwetewe'sxa's wala jiisa ũsçxa', jiimeekwesa na'wẽçxáa miiyajkxwe. Txã'wẽ yuuçxáa, wala jiisa yuuna pa'jane'kwe."
1CO,3,19,"La sabiduría de este mundo es completa necedad para Dios. Como dice la Escritura: “Él usa la inteligencia de los sabios para atraparlos en su propia astucia”,","Naa kiwetewe'sxçxáana wala jiyuni', Dxus dxi'pte' kĩh yuhwa seelpimeesa'. Txajíik Dxus librute na'wẽ we'we': Wala yã'j jiitha'w sũhna fxi'zesatxi' ewmeete khẽewa'ja'sku vxitu' Dxusa', txã'wẽ yaakxpa'ga."
1CO,3,20,y “El Señor sabe que los argumentos de los sabios son vanos”.,"Txã'wẽy vxite ajkhẽwa na'wẽ fxi'jni ũsa': Wala jiitha'w sũhna fxi'zeni', kĩhte yuhwa seelpimeetewa jiia' Dxusa' jĩ'k."
1CO,3,21,"Así que no se jacten de la gente. Porque lo tienen todo,",Txãa pa'ga nasaçxáatx jxthaakwe iiwejçx iiwejçx yajkxna fxi'zewa'jme'. Txã'wẽ yaakxkahmeníi kĩhwa jxuka i'kwe'sx jĩiçxaçxáata'.
1CO,3,22,"ya sea a Pablo, o a Apolos, o a Pedro—o al mundo, o la vida, la muerte, o el presente, o el futuro. Ustedes lo tienen todo—","Pablo ma'k yuu, Apolos ma'k yuu, Pedro ma'k yuu, naa kiwe ma'k yuu, ĩtxi fxi'zenisa ma'k yuu, uuwa'j ma'k yuu, naa ensu fxi'zeni ma'k yuu, vxite ensu fxi'zewa'j ma'k yuu, nawa txã' jxuka i'kwe'sx jĩiçxaçxáata'."
1CO,3,23,"y son de Cristo, y Cristo es de Dios. < 3 >","Naapkaçxha' i'kwe'sx yu' Kristo jĩi i'kwe, aça' Kristo yu' Dxus jĩ'. < 3 >"
1CO,4,1,Así que piensen en nosotros como siervos de Cristo que tienen por responsabilidad los “misterios de Dios”.,"Txã'wẽyã'the', kwe'sxtxi' naa sũhnaçxáa mfxi'zewe: Kwe'sx ewte neeyũuwa'ja's Dxusa' txãniitey pheu'jçxa ji'phu'k kim yuhwa jiyunimeesa txã'sna pta'sxkahn neewe'weçxa nvxihtte Kristo tasxte selpisaatxna sũhnaçxáa mfxi'zewe."
1CO,4,2,"Más que esto, los que tienen tales responsabilidades necesitan ser fieles.",Txã'wẽ mjĩiwa'ja's jxpa'gasa' ma'wẽ mjĩiwa'ja'swa jxuka kxtey yuuwa'j ji'pha'.
1CO,4,3,"En lo personal, muy poco me importa si alguien más me juzga. De hecho, ni siquiera yo mismo me juzgo.",Adx mjĩini's i'kwe'sxa' ma'wẽwa nuywe'wene'kwe. Nawa i'kwe'sx we'wenitxi' adxa' le'çxkweçxáa yuhwa yaakxwa'j ji'phmeeth. Adxíiçxáa yuhwa adx mjĩini' ewa' sũju'çmeeth.
