"id","initial","page","headword","part_of_speech","gloss","authority","audio_url","source_url"
"56","s","3","sulu","sustantivo","zorro","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_038zorro.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=3&lang=es"
"57","e","1","e’shavy","sustantivo","oso","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_017oso.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=e&page=1&lang=es"
"58","m","1","micu","sustantivo","mico","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=m&page=1&lang=es"
"59","w","2","wenze","sustantivo","mono nocturno","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=w&page=2&lang=es"
"61","f","1","fitsj","sustantivo","cuí, conejillo de indias","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_018cui.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=f&page=1&lang=es"
"63","q","1","quiwe cuchi","sustantivo","pecarí","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=q&page=1&lang=es"
"64","y","2","yu’cj cuchi","sustantivo","saíno","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=y&page=2&lang=es"
"65","j","1","jimba cjũch","sustantivo","danta","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_027dantacut.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=j&page=1&lang=es"
"66","p","5","pwel, ã’sh","sustantivo","mafafa","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=5&lang=es"
"69","b","1","bajts","sustantivo","fique","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"71","s","2","shlalá","sustantivo","granadillo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"73","p","5","pwel","sustantivo","cubios","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=5&lang=es"
"74","ñ","1","ñauñú","sustantivo","curuba","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=%C3%B1&page=1&lang=es"
"77","q","1","quĩtj","sustantivo","maní","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=q&page=1&lang=es"
"81","s","2","shbu","sustantivo","uvillo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"82","m","2","mutcue","sustantivo","lulo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=m&page=2&lang=es"
"83","p","2","payáa","sustantivo","papaya","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_355papaya.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=2&lang=es"
"84","ñ","1","ña, yã","sustantivo","yuca","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=%C3%B1&page=1&lang=es"
"85","s","2","shwa’","sustantivo","cidrayota","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"86","s","2","shwi’la","sustantivo","ulluco","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"88","l","1","luuçx","sustantivo","niño","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_boy_ninio.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=l&page=1&lang=es"
"89","t","1","tata","sustantivo","padre","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_father_padre.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=1&lang=es"
"90","m","1","mama","sustantivo","madre","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_mother_madre.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=m&page=1&lang=es"
"92","v","1","vxihçxa","sustantivo","pájaro","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_bird_pajaro.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=v&page=1&lang=es"
"93","y","1","yat","sustantivo","casa","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_house_casa.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=y&page=1&lang=es"
"94","k","1","kutxh","sustantivo","maíz","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_corn_maiz.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=k&page=1&lang=es"
"96","b","1","beka","sustantivo","chicha","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_chicha.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"97","y","2","yu’","sustantivo","agua","Hablante: Ananías Piñacué, 2012","https://talkingdictionary.swarthmore.edu/media/paez/aud/Nasayuwe_Ananias_water_agua.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=y&page=2&lang=es"
"295","b","1","bagach","adjetivo","cuando","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_26Jul2013_1030cuando.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"296","b","1","bagach yujva","adjetivo","nunca, jamás","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"297","b","1","bagachva, bagachteva","adjetivo","cuandoquiera, siempre","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_103siempre.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"298","b","1","baj, baji-","verb intransitive","calentarse","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"299","b","1","bajch-, bachi-","verb intransitive","calentarse","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"300","b","1","baji’j-, baji’ji-","verb transitive","calentar (a otro)","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_406calentarcut.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"301","b","1","bajts","sustantivo","la cabuya, el fique","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"302","b","1","bats ej","sustantivo","cabuyal, roza de cabuya","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"303","b","1","bats ets","sustantivo","penca de cabuya","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"304","b","1","bats quite","sustantivo","flor de cabuya","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"305","b","1","bats tash","sustantivo","mata de cabuya","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"306","b","1","bats tsjũtsj","sustantivo","espina de cabuya","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"307","b","1","bats watse","sustantivo","raíz de cabuya","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"308","b","1","bats wes","sustantivo","guasca de fique","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"309","b","1","bats yafy","sustantivo","cogollo de fique","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"310","b","1","bats yaj","sustantivo","fibra de cabuya","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"311","b","1","bajy","adjetivo","caliente","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"312","b","1","bajy we’we-","verb transitive","hacer seña","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"313","b","1","bara","sustantivo","la vara (medida)","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"314","b","1","baytu’c-, baytu’cu-","verb reflexive","oxidarse","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_26Jul2013_767oxidarse.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"315","b","1","baytu’cni","past participle","oxidado","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"316","b","1","beca","sustantivo","chicha","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"317","b","1","beca canuwé","sustantivo","canoa para guarapo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"318","b","1","beca mityj","sustantivo","olla para guarapo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"319","b","1","beca ñusha","sustantivo","chicha dulce de maíz","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"320","b","1","beca pus","sustantivo","chicha fermentada","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"321","b","1","beca sec, cuty beca","sustantivo","chicha de maíz","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_427chichademaiz.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"322","b","1","beca yat","sustantivo","guarapería, chichería","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"323","ñ","1","ñusha beca","sustantivo","chicga de caña, guarapo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=%C3%B1&page=1&lang=es"
"324","b","1","beca’j-, beca’ja-","verb transitive","hacer chicha","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"325","b","1","becuena u’p-","verb transitive","estar medio colgado","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"326","b","1","bej","adjetivo","rojo, colorado","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"327","b","1","bej atate","adjetivo","rojo claro","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"328","b","1","bejbej","adjetivo","rojo subido","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"329","b","1","bejbej chijme","adjetivo","rosado","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"330","b","1","bejbej","adjetivo","orange","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"331","b","1","bej yuu-","verb intransitive","volverse rojo. enrojecerse","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"332","b","1","bej-m, beje-","verb intransitive","arder","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_292arder.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"333","b","1","bela","sustantivo","vela","Hablante: Gerdel and Slocum, 1983.","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_26Jul2013_769vela.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"334","b","1","belen u’p-","verb intransitive","estar suspendido","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"335","b","1","bell (mell)","sustantivo","trapo, pañales","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"336","b","1","bendesĩ","verb transitive","bendecir","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"337","b","1","beecãj-, beecãja-","verb intransitive","sonrojarse","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"338","b","1","bich","sustantivo","plato (de madera)","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"339","b","1","bish-, bishi-","verb intransitive","ampollarse","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"340","b","1","bite","adjetivo","pintado, teñido","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"341","b","1","biu’","adjetivo","avispado, vivo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"342","b","1","biite’j-, biite’je","verb intransitive","embijarse","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"343","b","1","blal","sustantivo","el umbral","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"344","b","1","buc","adjetivo","panzón","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"345","b","1","buc-, bucu-","verb intransitive","estar panzón","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"346","b","1","buch-, bucha-","verb intransitive","retoñar, brotar","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"347","b","1","bus","sustantivo","mosquito (insecto)","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"348","b","1","bush","sustantivo","el andamio","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"349","b","1","buta","sustantivo","la roncha","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"350","b","1","buta wee","sustantivo","el sarampión","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"351","b","1","buts","sustantivo","la larva","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"352","b","1","buts wee, buts wee wajwa","sustantivo","varicela, viruela loca","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"353","b","1","buts wee wala","sustantivo","viruela","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"354","b","1","butse tash","sustantivo","el yarumo (árbol)","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"355","b","1","bu’ch","sustantivo","1. la espuma 2. planta medicinal","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"356","b","1","bu’ch, bu’chi-","verb intransitive","empezar a hervir, burbjear","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_407empezarahervircut.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"357","b","1","bu’mbu-","verb intransitive","hacer ruido, retumbar","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"358","b","1","buu","sustantivo","la chinche del árbol","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"582","y","2","yu’ cbajy","sustantivo","agua hervida","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_418aguahervida.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=y&page=2&lang=es"
"608","p","3","piishá cjas","sustantivo","lana de oveja","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=3&lang=es"
"619","s","2","shũucjash","sustantivo","mazamorra sin sal","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_425mazamorrasinsal.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"636","f","1","fytũu ũ’sa cjã’cjã","sustantivo","el comején","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=f&page=1&lang=es"
"714","ñ","1","ñus cnay-","verb transitive","experimentar tristeza","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=%C3%B1&page=1&lang=es"
"715","w","1","wee cnay-","verb transitive","padecer una enfermdad","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=w&page=1&lang=es"
"850","t","1","tee cus uta","sustantivo","toda la noche","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_105todalanoche.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=1&lang=es"
"909","b","1","boda bu’ju","sustantivo","baile de la boda","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=b&page=1&lang=es"
"911","p","3","pi’cy yat cu’jni","sustantivo","baile en una minga","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_24Jul2013_296baileenunaminga.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=3&lang=es"
"919","t","1","tee cu’ta","sustantivo","una brazada","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=1&lang=es"
"944","s","1","scuutyj cweejya’jya’","verb transitive","aventar trigo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=1&lang=es"
"1008","ñ","1","ña chachay","sustantivo","yuca viche","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=%C3%B1&page=1&lang=es"
"1142","j","1","jimba dyi’j","sustantivo","camino de herradura","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=j&page=1&lang=es"
"1145","p","5","puuty pdyi’p","sustantivo","cara a cara","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_25Jul2013_642caraacara.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=5&lang=es"
